"ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"2018","DF","2","17","PRESIDENTE","1080411"
"2018","DF","2","95","PRESIDENTE","44657"
"2018","DF","2","96","PRESIDENTE","102988"
"2018","ES","1","12","PRESIDENTE","195553"
"2018","ES","1","13","PRESIDENTE","495868"
"2018","ES","1","15","PRESIDENTE","22232"
"2018","ES","1","16","PRESIDENTE","711"
"2018","ES","1","17","PRESIDENTE","1122131"
"2018","ES","1","18","PRESIDENTE","26529"
"2018","ES","1","19","PRESIDENTE","11352"
"2018","ES","1","27","PRESIDENTE","792"
"2018","ES","1","30","PRESIDENTE","44306"
"2018","ES","1","45","PRESIDENTE","79049"
"2018","ES","1","50","PRESIDENTE","8358"
"2018","ES","1","51","PRESIDENTE","41734"
"2018","ES","1","54","PRESIDENTE","533"
"2018","ES","1","95","PRESIDENTE","61910"
"2018","ES","1","96","PRESIDENTE","113201"
"2018","ES","2","13","PRESIDENTE","747768"
"2018","ES","2","17","PRESIDENTE","1276611"
"2018","ES","2","95","PRESIDENTE","51580"
"2018","ES","2","96","PRESIDENTE","102536"
"2018","GO","1","12","PRESIDENTE","280864"
"2018","GO","1","13","PRESIDENTE","713535"
"2018","GO","1","15","PRESIDENTE","90778"
"2018","GO","1","16","PRESIDENTE","1011"
"2018","GO","1","17","PRESIDENTE","1868686"
"2018","GO","1","18","PRESIDENTE","28783"
"2018","GO","1","19","PRESIDENTE","15628"
"2018","GO","1","27","PRESIDENTE","1291"
"2018","GO","1","30","PRESIDENTE","70023"
"2018","GO","1","45","PRESIDENTE","146440"
"2018","GO","1","50","PRESIDENTE","13806"
"2018","GO","1","51","PRESIDENTE","33349"
"2018","GO","1","54","PRESIDENTE","595"
"2018","GO","1","95","PRESIDENTE","81276"
"2018","GO","1","96","PRESIDENTE","208869"
"2018","GO","2","13","PRESIDENTE","1118060"
"2018","GO","2","17","PRESIDENTE","2124739"
"2018","GO","2","95","PRESIDENTE","59568"
"2018","GO","2","96","PRESIDENTE","189457"
"2018","MA","1","12","PRESIDENTE","282472"
"2018","MA","1","13","PRESIDENTE","2062638"
"2018","MA","1","15","PRESIDENTE","52214"
"2018","MA","1","16","PRESIDENTE","2842"
"2018","MA","1","17","PRESIDENTE","817531"
"2018","MA","1","18","PRESIDENTE","23635"
"2018","MA","1","19","PRESIDENTE","6320"
"2018","MA","1","27","PRESIDENTE","776"
"2018","MA","1","30","PRESIDENTE","17233"
"2018","MA","1","45","PRESIDENTE","50654"
"2018","MA","1","50","PRESIDENTE","16016"
"2018","MA","1","51","PRESIDENTE","34204"
"2018","MA","1","54","PRESIDENTE","412"
"2018","MA","1","95","PRESIDENTE","60409"
"2018","MA","1","96","PRESIDENTE","177960"
