"","ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"117",2018,"ES",1,50,"PRESIDENTE",8358
"118",2018,"ES",1,51,"PRESIDENTE",41734
"119",2018,"ES",1,54,"PRESIDENTE",533
"120",2018,"ES",1,95,"PRESIDENTE",61910
"121",2018,"ES",1,96,"PRESIDENTE",113201
"122",2018,"GO",1,12,"PRESIDENTE",280864
"123",2018,"GO",1,13,"PRESIDENTE",713535
"124",2018,"GO",1,15,"PRESIDENTE",90778
"125",2018,"GO",1,16,"PRESIDENTE",1011
"126",2018,"GO",1,17,"PRESIDENTE",1868686
"127",2018,"GO",1,18,"PRESIDENTE",28783
"128",2018,"GO",1,19,"PRESIDENTE",15628
"129",2018,"GO",1,27,"PRESIDENTE",1291
"130",2018,"GO",1,30,"PRESIDENTE",70023
"131",2018,"GO",1,45,"PRESIDENTE",146440
"132",2018,"GO",1,50,"PRESIDENTE",13806
"133",2018,"GO",1,51,"PRESIDENTE",33349
"134",2018,"GO",1,54,"PRESIDENTE",595
"135",2018,"GO",1,95,"PRESIDENTE",81276
"136",2018,"GO",1,96,"PRESIDENTE",208869
"137",2018,"MA",1,12,"PRESIDENTE",282472
"138",2018,"MA",1,13,"PRESIDENTE",2062638
"139",2018,"MA",1,15,"PRESIDENTE",52214
"140",2018,"MA",1,16,"PRESIDENTE",2842
"141",2018,"MA",1,17,"PRESIDENTE",817531
"142",2018,"MA",1,18,"PRESIDENTE",23635
"143",2018,"MA",1,19,"PRESIDENTE",6320
"144",2018,"MA",1,27,"PRESIDENTE",776
"145",2018,"MA",1,30,"PRESIDENTE",17233
"146",2018,"MA",1,45,"PRESIDENTE",50654
"147",2018,"MA",1,50,"PRESIDENTE",16016
"148",2018,"MA",1,51,"PRESIDENTE",34204
"149",2018,"MA",1,54,"PRESIDENTE",412
"150",2018,"MA",1,95,"PRESIDENTE",60409
"151",2018,"MA",1,96,"PRESIDENTE",177960
"152",2018,"MG",1,12,"PRESIDENTE",1278819
"153",2018,"MG",1,13,"PRESIDENTE",3037957
"154",2018,"MG",1,15,"PRESIDENTE",111999
"155",2018,"MG",1,16,"PRESIDENTE",6160
"156",2018,"MG",1,17,"PRESIDENTE",5308047
"157",2018,"MG",1,18,"PRESIDENTE",97410
"158",2018,"MG",1,19,"PRESIDENTE",46716
"159",2018,"MG",1,27,"PRESIDENTE",3643
"160",2018,"MG",1,30,"PRESIDENTE",426334
"161",2018,"MG",1,45,"PRESIDENTE",506590
"162",2018,"MG",1,50,"PRESIDENTE",50587
"163",2018,"MG",1,51,"PRESIDENTE",110054
"164",2018,"MG",1,54,"PRESIDENTE",3398
"165",2018,"MG",1,95,"PRESIDENTE",381959
"166",2018,"MG",1,96,"PRESIDENTE",845008
"167",2018,"MS",1,12,"PRESIDENTE",112296
"168",2018,"MS",1,13,"PRESIDENTE",333407
"169",2018,"MS",1,15,"PRESIDENTE",18154
"170",2018,"MS",1,16,"PRESIDENTE",623
"171",2018,"MS",1,17,"PRESIDENTE",769116
"172",2018,"MS",1,18,"PRESIDENTE",12279
"173",2018,"MS",1,19,"PRESIDENTE",12527
"174",2018,"MS",1,27,"PRESIDENTE",325
"175",2018,"MS",1,30,"PRESIDENTE",26491
"176",2018,"MS",1,45,"PRESIDENTE",90897
"177",2018,"MS",1,50,"PRESIDENTE",6174
"178",2018,"MS",1,51,"PRESIDENTE",14337
"179",2018,"MS",1,54,"PRESIDENTE",319
"180",2018,"MS",1,95,"PRESIDENTE",30951
"181",2018,"MS",1,96,"PRESIDENTE",51412
"182",2018,"MT",1,12,"PRESIDENTE",91344
"183",2018,"MT",1,13,"PRESIDENTE",404604
"184",2018,"MT",1,15,"PRESIDENTE",16735
"185",2018,"MT",1,16,"PRESIDENTE",610
"186",2018,"MT",1,17,"PRESIDENTE",981119
"187",2018,"MT",1,18,"PRESIDENTE",12487
"188",2018,"MT",1,19,"PRESIDENTE",13086
"189",2018,"MT",1,27,"PRESIDENTE",598
"190",2018,"MT",1,30,"PRESIDENTE",25971
"191",2018,"MT",1,45,"PRESIDENTE",67498
"192",2018,"MT",1,50,"PRESIDENTE",6858
"193",2018,"MT",1,51,"PRESIDENTE",12907
"194",2018,"MT",1,54,"PRESIDENTE",319
"195",2018,"MT",1,95,"PRESIDENTE",33540
"196",2018,"MT",1,96,"PRESIDENTE",90262
"197",2018,"PA",1,12,"PRESIDENTE",415593
"198",2018,"PA",1,13,"PRESIDENTE",1714822
"199",2018,"PA",1,15,"PRESIDENTE",100724
"200",2018,"PA",1,16,"PRESIDENTE",2391
"201",2018,"PA",1,17,"PRESIDENTE",1499294
"202",2018,"PA",1,18,"PRESIDENTE",53682
"203",2018,"PA",1,19,"PRESIDENTE",12407
"204",2018,"PA",1,27,"PRESIDENTE",1413
"205",2018,"PA",1,30,"PRESIDENTE",28314
"206",2018,"PA",1,45,"PRESIDENTE",229122
"207",2018,"PA",1,50,"PRESIDENTE",32417
"208",2018,"PA",1,51,"PRESIDENTE",51547
"209",2018,"PA",1,54,"PRESIDENTE",1009
"210",2018,"PA",1,95,"PRESIDENTE",70590
"211",2018,"PA",1,96,"PRESIDENTE",188473
"212",2018,"PB",1,12,"PRESIDENTE",362775
"213",2018,"PB",1,13,"PRESIDENTE",984398
"214",2018,"PB",1,15,"PRESIDENTE",21900
"215",2018,"PB",1,16,"PRESIDENTE",819
"216",2018,"PB",1,17,"PRESIDENTE",677718
"217",2018,"PB",1,18,"PRESIDENTE",12508
"218",2018,"PB",1,19,"PRESIDENTE",6078
"219",2018,"PB",1,27,"PRESIDENTE",526
"220",2018,"PB",1,30,"PRESIDENTE",16859
"221",2018,"PB",1,45,"PRESIDENTE",51334
"222",2018,"PB",1,50,"PRESIDENTE",6901
"223",2018,"PB",1,51,"PRESIDENTE",23280
"224",2018,"PB",1,54,"PRESIDENTE",448
