dbn,school_name,num_of_sat_test_takers,critical_reading_mean,math_mean,writing_mean,building_code,location_name,location_code,address,geographical_district_code,postcode,latitude,longitude,geo_cat_code
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330,X475,English Language Learners and International Suppor,X397,99 TERRACE VIEW AVENUE,10,10463,40.877105,-73.912256,9-12
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365,X430,High School for Teaching and the Professions,X433,2780 RESERVOIR AVENUE,10,10468,40.870293,-73.898309,9-12
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400,X435,Belmont Preparatory High School,X434,500 EAST FORDHAM ROAD,10,10458,40.860043,-73.888267,9-12
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372,X435,Fordham High School for the Arts,X437,500 EAST FORDHAM ROAD,10,10458,40.860043,-73.888267,9-12
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367,X435,Fordham Leadership Academy for Business and Techno,X438,500 EAST FORDHAM ROAD,10,10458,40.860043,-73.888267,9-12
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352,X435,Bronx High School for Law and Community Service,X439,500 EAST FORDHAM ROAD,10,10458,40.860043,-73.888267,9-12
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,X440,DeWitt Clinton High School,X440,100 WEST MOSHOLU PARKWAY SOUTH,10,10468,40.882178,-73.88691,9-12
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427,X430,"Celia Cruz Bronx High School of Music, The",X442,2780 RESERVOIR AVENUE,10,10468,40.870293,-73.898309,9-12
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,X445,Bronx High School of Science,X445,75 WEST 205 STREET,10,10468,40.87759,-73.89104,9-12
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339,X475,John F. Kennedy High School,X475,99 TERRACE VIEW AVENUE,10,10463,40.877105,-73.912256,9-12
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414,X475,Marble Hill High School for International Studies,X477,99 TERRACE VIEW AVENUE,10,10463,40.877105,-73.912256,9-12
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354,X475,Bronx Theatre High School,X546,99 TERRACE VIEW AVENUE,10,10463,40.877105,-73.912256,9-12
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364,X430,Discovery High School,X549,2780 RESERVOIR AVENUE,10,10468,40.870293,-73.898309,9-12
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356,X660,Grace Dodge Career and Technical Education High Sc,X660,2474 CROTONA AVENUE,10,10458,40.855698,-73.882715,9-12
10X667,GRACE DODGE YABC,10,350,356,317,X660,Grace Dodge Yabc,X667,2474 CROTONA AVENUE,10,10458,40.855698,-73.882715,9-12
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,X905,High School of American Studies at Lehman College,X696,2925 GOULDEN AVENUE,10,10468,40.873938,-73.895382,9-12
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,X455,Bronx Health Sciences High School,X249,750 BAYCHESTER AVENUE,11,10475,40.874091,-73.833904,9-12
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,X425,Bronx High School for Writing and Communication Ar,X253,800 EAST GUN HILL ROAD,11,10467,40.875953,-73.86197,9-12
11X265,BRONX LAB SCHOOL,81,377,391,367,X425,Bronx Lab School,X265,800 EAST GUN HILL ROAD,11,10467,40.875953,-73.86197,9-12
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,X362,Academy for Scholarship and Entrepreneurship: A Co,X270,921 EAST 228TH STREET,11,10466,40.887831,-73.852694,9-12
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,X425,High School of Computers and Technology,X275,800 EAST GUN HILL ROAD,11,10467,40.875953,-73.86197,9-12
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,X415,Collegiate Institute for Math and Science,X288,925 ASTOR AVENUE,11,10469,40.859665,-73.861006,9-12
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,X425,Bronx Academy of Health Careers,X290,800 EAST GUN HILL ROAD,11,10467,40.875953,-73.86197,9-12
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,X415,Astor Collegiate Academy,X299,925 ASTOR AVENUE,11,10469,40.859665,-73.861006,9-12
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353,X415,Christopher Columbus High School,X415,925 ASTOR AVENUE,11,10469,40.859665,-73.861006,9-12
